name,description,category,subcategory,price,cost,ingredients,allergens,preparation_time,available,tags,sort_order,portion_size,spice_level,dietary_flags,kitchen_notes,calories,featured
Kir Royale,Champagne cocktail with crème de cassis,beverage,Cocktails,14.99,5.50,Champagne crème de cassis,,2,true,popular chef_special,4,Champagne flute,0,gluten_free,Use quality cassis,110,false
Côtes du Rhône Blanc,Crisp white wine with floral notes,beverage,Vin Blanc,16.99,7.00,Viognier Roussanne,,1,true,popular,5,5oz glass,0,gluten_free,Serve chilled,115,false
French 75,Gin cocktail with lemon juice and champagne,beverage,Cocktails,16.99,6.50,Gin lemon juice simple syrup champagne,,3,true,popular healthy,6,Coupe glass,0,gluten_free,Fresh lemon juice only,140,false
Plateau de Fromages,Selection of five French artisanal cheeses,dessert,Fromages,26.99,11.50,Roquefort Camembert Chèvre Comté Brie,dairy,5,true,popular chef_special,1,Serves 2-3,0,vegetarian,Serve at room temperature,420,true
Crème Brûlée Vanille,Classic vanilla custard with caramelized sugar crust,dessert,Crèmes,9.99,3.50,Heavy cream vanilla bean egg yolks sugar,dairy eggs,12,true,popular chef_special,2,Individual ramekin,0,vegetarian gluten_free,Torch sugar just before serving,280,true
Tarte Tatin,Upside-down apple tart with vanilla ice cream,dessert,Tartes,11.99,4.50,Apples puff pastry caramel vanilla ice cream,gluten dairy eggs,25,true,popular seasonal,3,Slice with ice cream,0,vegetarian,Caramelize apples until golden,350,true
Mousse au Chocolat,Rich dark chocolate mousse with Chantilly cream,dessert,Chocolat,8.99,3.00,Dark chocolate eggs cream sugar,dairy eggs,15,true,popular chef_special,4,Individual portion,0,vegetarian gluten_free,Use 70% dark chocolate minimum,320,false
Mille-feuille,Layered puff pastry with vanilla pastry cream,dessert,Pâtisseries,12.99,5.50,Puff pastry pastry cream fondant icing,gluten dairy eggs,20,true,chef_special seasonal,5,Individual portion,0,vegetarian,Assemble just before serving,290,false
Soufflé au Grand Marnier,Hot orange soufflé with Grand Marnier,dessert,Soufflés,15.99,6.50,Eggs Grand Marnier orange zest sugar cream,dairy eggs,18,true,chef_special seasonal,6,Individual soufflé,0,vegetarian gluten_free,Serve immediately do not open oven,260,true
Bouillabaisse du Chef,Chef's special bouillabaisse with lobster and sea bass,special,Spécialités,48.99,22.00,Lobster sea bass mussels saffron fennel rouille,shellfish fish gluten eggs,25,true,chef_special seasonal,1,Large portion,1,,Market price varies check daily,520,true
Côte de Boeuf,Dry-aged ribeye for two with bordelaise sauce,special,Spécialités,85.99,38.00,Dry-aged ribeye shallots red wine reduction,,30,true,chef_special,2,32oz for sharing,0,gluten_free,Age minimum 28 days,890,true
Homard Thermidor,Lobster in brandy cream sauce with cheese,special,Spécialités,42.99,20.00,Whole lobster brandy cream Gruyère mustard,shellfish dairy,20,true,chef_special,3,Half lobster,0,gluten_free,Use live lobster only,480,true
